id,thumb_2048_url,captured_at,sequence,lat,long,orientation,rotation,f,k1,k2,sfm_lat,sfm_long
4232333256798703,https://scontent-ams2-1.xx.fbcdn.net/m1/v/t6/An90PNeYB0KhQ0CHPqz67J9F4C6TEsW2C3Mf4PiYyBXFlT_isNYfSVPr0Br3__G-y6r2laIKyXcwaRpH7GGG3yXNU2w0_73yVsuJ2ERr9nYXYT8yT5xmD3JpGGrOjJz1hqB5oisk-vZAAG45QRVlFg?stp=s2048x1536&edm=ALXxkZ8EAAAA&_nc_gid=YVXHpJ1N-bGy1F3fGRojZQ&_nc_oc=AdnnLmYo_NYRIUfnqik8p8khfFaSgX1YTTfY7c1WI3ekwg9xv75mvBZAyOoK_dGJ9mU&ccb=10-5&oh=00_AfeBuPbVAyKrZBi9OCYYFUkGu8vvVHr3VleiFX7wMZ1Lhw&oe=692B6553&_nc_sid=201bca,1486061757066,n4k0JDQfdeItNMf9OOwCUQ,41.905809,12.482315,195.911,"[0.28966039813256, 2.0727202844413, -2.0727202844413]",0.805674748199,0.0294905840079,-0.0606761796511,41.905809,12.482315
788402008462473,https://scontent-ams2-1.xx.fbcdn.net/m1/v/t6/An-puXmNoAGV1qB5ADzBlyH0U7xCWah1WGHq8os88GzoFl06oAOHIq4Yntv2plH8MSSs6MnTkRVqA-O0aTqDJ_Rk-SWiLw6GDCBs_6-2Gpf-mejqr_pb3voAVKT85vWI6WlOvC9ueT7JzB5rf8Q4wQ?stp=s2048x1536&edm=ALXxkZ8EAAAA&_nc_gid=6pT6erO3SqKj4hVP-wGJAg&_nc_oc=Adk7dAZJvywjp-I3LyDN5kXXeOhjb46naZpANhm-usyH4aSnmc5wd3jPHJRo2r5DxLI&ccb=10-5&oh=00_Afd3fZfcCU0sjTZLKHuLqkyVNsanGFxjwOvakFw9AidElg&oe=692B8119&_nc_sid=201bca,1486061760307,n4k0JDQfdeItNMf9OOwCUQ,41.905806,12.482348,220.6919,"[0.67081820836872, 1.8089973120868, -1.8089973120868]",0.805674748199,0.0294905840079,-0.0606761796511,41.905806,12.482348
180258693949912,https://scontent-ams2-1.xx.fbcdn.net/m1/v/t6/An9J70dJgRjmQcvA0OuQBkCUrxcYdQeDkBIKxecn0Ctp-j_PswJ1lHGFrdy1EWmtFb4jsV4RW6nS3oxtH9B9DdxfKAum8_M5rLh4q4DoMMiQqo9S3FxlpFT-9wYALTmlFkKyORO3woEIUjxapK3H87w?stp=s2048x1536&edm=ALXxkZ8EAAAA&_nc_gid=d-B5XTJlKRnFKVFNV5dayg&_nc_oc=AdmUMS_WZHIT-jLZyxK_ZMugow-uJFiTZYLBMjdLNrz7P_iWdfoRw07-TBPxPToURAI&ccb=10-5&oh=00_AfeYx4wFTgfth1MCiZFoZwOsJ-3dODR6Wh_B4TjqRMB5Nw&oe=692B94DD&_nc_sid=201bca,1486061761892,n4k0JDQfdeItNMf9OOwCUQ,41.905809,12.482285,231.4789,"[0.81227693966498, 1.6848171275251, -1.6848171275251]",0.805674748199,0.0294905840079,-0.0606761796511,41.905809,12.482285
2747790412198843,https://scontent-ams2-1.xx.fbcdn.net/m1/v/t6/An_zg7lRIj8DcBmRZwHSn9gD34zgC14scae_ytY4C0ge7_2g1ogiwe9aR8QsUHrHdjnGkgjXNfnRRplCbqp2oK6dlI0YNFhRlubekl3_go4gZAj2zk0Fv60Civmko6iVYhCksMaNxdmYHI1TgUZIQA?stp=s2048x1536&edm=ALXxkZ8EAAAA&_nc_gid=CGDi-XF5yaj2ZvBr6rCq0g&_nc_oc=Adn48lR7AdZ9Sl0bU7n78M3DO4G-nXXTAkOhMGjHO8xLN-otti01L2AgbpLsMRjp5OY&ccb=10-5&oh=00_AfcXUU7_zoyTy2k73Q4s6jEnCn68gVs4xD_nhHM_Jzu8Lg&oe=692B6B5C&_nc_sid=201bca,1486061763754,n4k0JDQfdeItNMf9OOwCUQ,41.905816,12.482258,252.1856,"[1.0457413425047, 1.4344479380454, -1.4344479380454]",0.805674748199,0.0294905840079,-0.0606761796511,41.905816,12.482258
306713820894516,https://scontent-ams2-1.xx.fbcdn.net/m1/v/t6/An9DMdTJSCOVM8PxzdTxNFFtKQQrE7DOqT4yMg3U-fbaMEz0k1BD-nHUZToNaoCivpEslERejvdgPoXm0SctbcPsZx1lYa6hkBZpHwq8oZVpevFDDJQvRi88GJYFz7vKCyFpezd007YCw06VgJ119TU?stp=s2048x1536&edm=ALXxkZ8EAAAA&_nc_gid=9MBl8wgqweboPpkZ5TwZnQ&_nc_oc=AdnaMt5-MkD1lGgjb3-RmV-DPhH6CrgfVz_7nPcEfxoscwyqdMPaDnUR_CL4cfyNs58&ccb=10-5&oh=00_AffI2fybVs7yF-tE1q10KEPn4tY9dS6XEXl7sylxwZhjbg&oe=692B7AF3&_nc_sid=201bca,1486061766103,n4k0JDQfdeItNMf9OOwCUQ,41.905818,12.48226,276.4819,"[1.2605698143746, 1.125459350216, -1.125459350216]",0.805674748199,0.0294905840079,-0.0606761796511,41.905818,12.48226
3901194019972102,https://scontent-ams2-1.xx.fbcdn.net/m1/v/t6/An_ZRCC2PYBo27nzdvTQWz9bdUU_Dgb8h8Pg7IqnNgFLNiHM6HXSAAiMkHvuXpjqL0HSdRK2PRfOfrm16mpptUAreN1qNMXFdDmMnViG6vzII28lw_Ia6gco7WdeZUYTwrM4LFS0IhTzzCGtJXOixkM?stp=s2048x1536&edm=ALXxkZ8EAAAA&_nc_gid=eAfU9k8Xkh8NSAhmGJ92Lg&_nc_oc=AdkaFR4E0KkUpBnY0vKJP100y9RaPRcohy2HfmNSX2DP-TrSGzX4LDRVWSGJ-U0a_2U&ccb=10-5&oh=00_AffAtjV7gwgleasU56i0_zQtWkAAQlcpSpLiMf3uSZAtMg&oe=692B82C9&_nc_sid=201bca,1486061769269,n4k0JDQfdeItNMf9OOwCUQ,41.905807,12.482286,293.0907,"[1.3733240834099, 0.90742099994818, -0.90742099994818]",0.805674748199,0.0294905840079,-0.0606761796511,41.905807,12.482286
278233050668896,https://scontent-ams2-1.xx.fbcdn.net/m1/v/t6/An8jGG5MmWf6rARFaTBQ9vXfIPY7BWZ66io8XPYt5qNSemcWGphljCUKlWn15qJsVQsR25AeWnM0HodBKWFyhdgXlFQv5hRMWYmp2BxjkUr2iWHo83ua8HveHaRQAu3DmGBPLqlJk11kJO-JftyaMZU?stp=s2048x1536&edm=ALXxkZ8EAAAA&_nc_gid=IsXM2cEK-lSKFyGUjpb0Zg&_nc_oc=Adn9ojEnCW1YpdzeSG3VxlC8TKSYWI3Ynd2rOj7lreqhWdzz3v0_ENr2ZYey_3XBx6I&ccb=10-5&oh=00_AffNe2BERlBlOWbCcfY1-cuKN-8yoGBNUTuzniNhllsSpg&oe=692B950B&_nc_sid=201bca,1486061771400,n4k0JDQfdeItNMf9OOwCUQ,41.905813,12.482261,313.3593,"[1.4755640580794, 0.63609966227753, -0.63609966227753]",0.805674748199,0.0294905840079,-0.0606761796511,41.905813,12.482261
1368405473535383,https://scontent-ams2-1.xx.fbcdn.net/m1/v/t6/An_hPT1XxXWxOMoHNW8EHWr2gzP9gWVPxcyv-_tfDOcoaCKQ4DJUouuxnbtr9fbPA2kdcJtXSE97TZ87bPa7nB_WH3w8U7Ypyn3XcxQWq6rUxLhJnEgz_RrGiS-amBi3l1vlRKEaRnjt3UhFKcre2WY?stp=s2048x1536&edm=ALXxkZ8EAAAA&_nc_gid=vVXgtUpCSwP6J8sCEA76dQ&_nc_oc=AdmNBYVgeZwgeQSSi9OxgYmFlttLDkQkcs2lr4K3v2uh_7D6rs576oNKT1TP7HD0twM&ccb=10-5&oh=00_AfeggOjjuCoeK651FY4hmzrBswYYyxflRIm87G1Egh0ERQ&oe=692B6BA5&_nc_sid=201bca,1486061774116,n4k0JDQfdeItNMf9OOwCUQ,41.905795,12.482298,333.5215,"[1.5402504618604, 0.36237584512922, -0.36237584512922]",0.805674748199,0.0294905840079,-0.0606761796511,41.905795,12.482298
166334535399167,https://scontent-ams2-1.xx.fbcdn.net/m1/v/t6/An-YOI5nW4CKB6mFzNuW4qydOIbyM_MbcX5XQLtDY0EMuYv7e6j_DfJpm-FD2zwqVW9A_jgI21ZJvkhf7XXnbZrmj6nDa_YOdXM2ddTIaN-bbyV13kJR4ZoRrEV72ku1VBxvWAny3DTain83fylBFzs?stp=s2048x1536&edm=ALXxkZ8EAAAA&_nc_gid=6LhRUiTeIC0NC3wMAo_oQA&_nc_oc=AdmbsAdNaYl7wfJkClxXkD-_b8vtcHaj15NIFgFAWznsp-uqOEiuQjh82gCDjNG4PI4&ccb=10-5&oh=00_Afe09ny2jOIVKhu3pIKoif1Mbqq-BNTtVBvlrZy8nbG8Ow&oe=692B6507&_nc_sid=201bca,1486061776169,n4k0JDQfdeItNMf9OOwCUQ,41.905812,12.482307,353.7138,"[1.5690783866511, 0.086162076935193, -0.086162076935193]",0.805674748199,0.0294905840079,-0.0606761796511,41.905812,12.482307
1112345069276846,https://scontent-ams2-1.xx.fbcdn.net/m1/v/t6/An_hCkuewtfb__wL029XCPqz8d2WPNjT6CUGez5qaGTkw_XmVjsyqOVYyuirvWwxPol3ICl8SaFBbzj_xbxQoh8ZszgECMFGcKsgP3LCw_hWUiLB31KacZ60F0SrWWIxsqmhqqCiJ1jvWxQ8a5qB4Q?stp=s2048x1536&edm=ALXxkZ8EAAAA&_nc_gid=5pTzkDkXxHyW6u9xEfU2DA&_nc_oc=AdkC01Egj4Tr5iPulvO53n_Lwnx8GD59_6ehdtifr58WXORVMhSXxLlN47BUSSuQ-Js&ccb=10-5&oh=00_AfcrW956DkJBK-wEYDmQqrGogslCU_QWA4vJkVqg6cQaCg&oe=692B63A2&_nc_sid=201bca,1486061778660,n4k0JDQfdeItNMf9OOwCUQ,41.905815,12.482311,14.66199,"[1.5614451774349, -0.20088434853286, 0.20088434853286]",0.805674748199,0.0294905840079,-0.0606761796511,41.905815,12.482311
3849401905172977,https://scontent-ams2-1.xx.fbcdn.net/m1/v/t6/An-yGwC_e6IV44p9arEzvGv6I7Ui0EBCskpRlKDgD_RoF6qDS_ogXU5md7bBSh4HDiR_jd-L0RRvcd9_EUF0mfb9F7W2Ic3U6qO7iquFRl7weXXV5KQMvcrS0GgBPdDyhb-MgaKZJuGEzjVN6gTf3g?stp=s2048x1536&edm=ALXxkZ8EAAAA&_nc_gid=7tgBSQiTimFLTUJoKkUZBw&_nc_oc=AdmFnTUar6O0NLht_A2OPtPnAVs8VMMvgva7yGYk7v9foYrIICLEZTbgR3n4Hz-_HY8&ccb=10-5&oh=00_AfefB5QwtJTFUVvPtjmIOW8iLO6Q_06KdfMwvnp7B7kHIQ&oe=692B732E&_nc_sid=201bca,1486061781345,n4k0JDQfdeItNMf9OOwCUQ,41.905813,12.482305,37.58289,"[1.509115172127, -0.51349327915812, 0.51349327915812]",0.805674748199,0.0294905840079,-0.0606761796511,41.905813,12.482305
305791817730395,https://scontent-ams2-1.xx.fbcdn.net/m1/v/t6/An9guuvjGechFLrAZafZ-L8uK3Gk-tknsriESgcClIgUENpnBzorzphBfBaEOOA-kUW8Cn9BZIlPI4wZYUS0f2sxh82zRGMll7bPmFYvCpa7lKb5SSjO4ERvARaT6uzTch94XkoX0IASgVrinW_vRw?stp=s2048x1536&edm=ALXxkZ8EAAAA&_nc_gid=-Nrku-WM5FInKjn4VgwKiQ&_nc_oc=AdladQVJCXNj2I_VhCeO_zqKSsRq8_-uPzI_jjYyEDvfjKTp-M8N9jVOUhBdqnW-ERI&ccb=10-5&oh=00_AfeRr67rDnrqrbwSO9YN1L7Sj3BOx-D1uxy-Ze29y45Shw&oe=692B6A2F&_nc_sid=201bca,1486061783349,n4k0JDQfdeItNMf9OOwCUQ,41.905813,12.482304,59.43109,"[1.4154819592221, -0.80788571461206, 0.80788571461206]",0.805674748199,0.0294905840079,-0.0606761796511,41.905813,12.482304
287299236272756,https://scontent-ams2-1.xx.fbcdn.net/m1/v/t6/An9IOQ2MRe_t1zGtZzoPRFkoEUDkZkbWt4m6coxDwofcSP9c8kEuzYhhFEB0DYE4VTzSOijUhS4skLLos6-OYXtEEYJzw9ucF96chxIkjIi9ah82uiec4NkRvoU0vYv5yJb-p5diTTWFj9u3VVaX_Q?stp=s2048x1536&edm=ALXxkZ8EAAAA&_nc_gid=xhdbSesuvFRpAwDdPeQ27g&_nc_oc=AdmMEiqauwnVupsFHmIoLS91kGNXg0tj3oDkTziJU_SMb9bglhnjcYy-pJkNvtgl3kM&ccb=10-5&oh=00_AfcGc-Q7_60rija-l-3T-Vyxl0CVUAlrlCKbPDaapSjrAg&oe=692B7D09&_nc_sid=201bca,1486061786078,n4k0JDQfdeItNMf9OOwCUQ,41.905809,12.4823,78.94666,"[1.2942824054984, -1.0659126156555, 1.0659126156555]",0.805674748199,0.0294905840079,-0.0606761796511,41.905809,12.4823
